trial,m_pos_min,m_pos_max,k_pos_min,k_pos_max,zeta_pos,adaptive_lambda,adaptive_alpha_pos,i_gain_pos,i_gain_ori,i_clamp_pos,i_clamp_ori
0,0.055332536888805156,0.3860757465489678,341.1053504286575,2089.7663659937934,0.7965583595372332,68.13047017599905,24.691424506821164,1816.0141013295356,116.00290365511322,0.020405192903637327,0.007958905373210113
1,0.05336059705553755,0.32721782443757297,470.2386553170644,1142.072116395774,0.5609905097910785,11.819655769629314,42.46789304965721,1622.8664766147458,105.70133630715011,0.04897368042717268,0.008031753929323891
2,0.04668645686304026,0.4122116705145822,147.3097703475733,2279.8420426550474,0.6003473011863325,95.02020253446256,28.483174478753224,1004.9252979838901,39.101117331508966,0.0391632170928424,0.004670273255722175
3,0.05727496093799621,0.10751592017454206,347.05419883035086,2224.191445444843,0.9318537978123298,94.93732706631617,35.681913459656755,911.1634309754362,58.07351491792756,0.03548629740450872,0.0007902096219668443
4,0.0670099048291211,0.36825514784726376,184.15302442953634,1257.8525953097067,0.7207998456469287,42.73396938483604,30.658854668804583,1045.6225728859445,118.72112218651488,0.006898150915905348,0.00224699220972938
5,0.01696964227061463,0.3612433301861594,201.31664101591286,1932.6215457126127,0.6710979144011219,24.307262528096775,9.966881352393731,1415.7603020909648,25.20012464834752,0.011435953360642568,0.0038135066724774482
6,0.08227832975494558,0.13884051031722452,435.1779629995216,1192.1968157879262,1.183521625509377,52.178608148293144,48.954248968565174,1328.237383566578,91.31899373381319,0.0038810140282073925,0.002971508233248814
7,0.012899459560103722,0.218456079008858,147.49108758169763,1635.966358787952,0.7899840961602689,15.773274671390592,36.16124537165089,1263.2224721511777,39.192844003339,0.027115906566401587,0.0011206170054327285
8,0.05801870306006175,0.4717184790304857,227.42758098052946,2334.8207599273633,0.5922585036830745,74.4694483706709,18.02327418262405,611.4253154120986,74.51642282910915,0.0029651622169996907,0.008323612286330159
9,0.0014648521430621596,0.37112661471849206,208.00318927686595,2470.38804424519,1.1735319815822067,32.387782916796226,30.92708004880266,1306.4712831621264,72.94770963699608,0.01270791836674968,0.009536940312866454
10,0.07618537742575007,0.3801595365266744,160.4078440495384,1222.189307035294,0.5435055158891127,96.02406169978308,30.328578056378916,1356.281885182062,90.24557289388613,0.020237205699699237,0.002006808875447159
11,0.0577108542375768,0.11787535311743093,378.116402598893,1310.4128370525714,1.1089671925711313,50.40437563749475,47.88525579556036,1513.5508029643486,67.12927793250869,0.00306760875202321,0.004688203447017439
12,0.05227575941999402,0.136024718354774,469.69926266004745,1294.5389125558606,1.1143609182182916,21.01855244495209,36.84562643380923,1625.9371600565257,31.20139384099774,0.00378101525648673,0.007241408431062479
13,0.03709672140334933,0.12000749056658652,494.4428244720441,1720.7767935704514,1.13394304800376,54.531002426036636,33.03966872256603,1745.54249401316,16.499365974105167,0.004975885106785,0.005911414901340851
14,0.03689887133057364,0.20117838797306392,312.87875322763296,1236.5636981763523,1.0390670431718394,67.09128899289608,39.13379850020868,1759.4556969622847,54.60686065669765,0.020414342276254445,0.00875937015161897
15,0.07586209561559008,0.10748657572331313,448.4472687504555,1294.3790793711005,0.9652380966797449,11.950303470136168,35.94775502938688,1660.8660546655942,52.576656671507585,0.024135933396892188,0.006797603663835451
16,0.030238035789216508,0.3020832592033154,372.7315467022193,1757.2428993589263,1.034632281279647,53.40131912308151,49.319704730989784,1033.3712753178713,63.18582612183565,0.010183996282493172,0.003701116969132865
17,0.08406088373257678,0.2952966564477409,381.1666122225952,1621.6991187478093,1.017836649094879,21.87738000920662,39.342616092337124,1325.0536614134971,26.83213071872905,0.003938687606158696,0.004823982703467356
18,0.07590029444435996,0.3413491424103801,399.8315612472128,2078.83489697925,0.9465039737587846,24.761579185484692,35.15015947052922,1933.938993914925,18.403323070962973,0.006740945844251502,0.0028408127397962124
19,0.09299644646308998,0.2699988705986996,249.56505917681827,1366.1109258110855,1.0596514361004352,20.781447694408694,47.19685548748154,899.844124902337,33.852171366374435,0.013183269875977968,0.00886554770222806
20,0.055192788247750306,0.3128722518243586,445.79895118624853,1591.1093067479617,0.8757790010779065,43.45199899321403,25.65576376030051,880.4314455971854,16.524827537620986,0.010931657705312542,0.004911404628258672
21,0.0688019895940885,0.1655145180258736,499.9903943307994,1089.5144233328426,1.0317187681729185,12.563911065214649,41.884421513607705,1293.2309571114747,10.142848072084671,0.002389904176165773,0.008642234078018406
