trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
10,5275354.739822554,2033243.076618546,0.0,0.0,False,False,,0.0,8.796484105013102,15.434306244895046,3.416276386495572,0.05204905147213394,0.11036981741519017,0.09537954867624208,0.042725802180948014,0.010655407728535843,4.2551727294921875,6.591864347457886,0.022857488186374553,0.10998152224768742,0.0,0.0,0.0032404498925240784,0.006531363082985329,1.7101502219436786,12.842312574386597
11,1587383.8901291785,1587383.8901291785,445859.1864893674,0.219284743480287,True,False,,0.0,8.379307912142725,8.608198647471434,3.206889962197494,0.06320401990058436,0.10465539709370093,0.08939557815646147,0.005866729580231322,0.000923414168874125,4.05556058883667,4.154767751693726,0.001065333014483271,0.10019833272553817,0.0,0.0,0.003881108074265684,0.008038788826614723,1.4422841741173245,12.786160945892334
12,1844066.030973544,1587383.8901291785,0.0,0.0,False,False,,0.0,7.576824387460623,7.30119504759657,3.106773004149214,0.04588830324137875,0.09990447122365492,0.08683640445261318,0.008432521878555158,0.0004620407280349184,3.6581575870513916,3.438084363937378,0.00068004515881123,0.10689537165186803,0.0,0.0,0.002756360263444379,0.005959355283455929,0.6352603514629165,12.783083200454712
13,2036008.547418158,1587383.8901291785,0.0,0.0,False,False,,0.0,8.202410305792602,10.693262016312113,3.248551394555155,0.029762699616958058,0.10598334750098272,0.09055601399955206,0.010350758697156709,0.0005327288906611761,3.9653711318969727,5.084558725357056,0.001321326148033609,0.08480166006257824,0.0,0.0,0.0019056098897069357,0.0036294551248256426,0.5126377084002919,12.845832347869873
14,6419768.876619377,1587383.8901291785,0.0,0.0,False,False,,0.0,6.700716278509947,15.923009080345395,3.274679036371044,0.1123852470393979,0.10038736502116222,0.0922558379029739,0.05416194622450915,0.023406141628391473,3.2119743824005127,6.552001476287842,0.02218176330885067,0.17437713216855172,0.0,0.0,0.0063450825149212724,0.015406146730006929,0.8185376921715058,12.734886884689331
15,4196039.6211514,1587383.8901291785,0.0,0.0,False,False,,0.0,0.3598048477937513,14.647572030940669,3.9772691175358696,0.057672196689511485,0.13405220683215996,0.11014627713527063,0.03193846626804023,0.005022151889416431,0.014683008193969727,6.496927976608276,0.011358552864420942,0.09852300793289415,0.0,0.0,0.0033838449002138874,0.007650359371950097,0.8756486029335574,12.745371341705322
16,2453875.0240044612,1587383.8901291785,0.0,0.0,False,False,,0.0,6.805895625437113,5.9322736872671165,2.9269826347524748,0.08066564172175314,0.09098106073390116,0.08231538497236444,0.014527908741562665,0.0001313248607204058,3.2794747352600098,2.6022167205810547,0.00028896180537488794,0.13183837047310798,0.0,0.0,0.0051734312238478145,0.009819547982742658,1.0856183526950205,12.935873746871948
17,1483760.1263203719,1483760.1263203719,103623.76380880666,0.06527958640198493,True,False,,0.0,8.004168927326996,9.984898792387417,3.2064661703909554,0.03833887346497572,0.10504553554233859,0.08931412288056423,0.004831090779729361,0.0004811992187603386,3.8681132793426514,4.8682191371917725,0.001381195803480681,0.07934265194584732,0.0,0.0,0.0024182359391204853,0.004748246488002959,0.801270431556341,12.74545407295227
18,2563275.868344553,1483760.1263203719,0.0,0.0,False,False,,0.0,6.716131733515642,6.5029679534866,2.961304327160924,0.03692266667876529,0.09251645749749142,0.08320746377401278,0.01562132119167814,0.0001529625760289483,3.2332546710968018,2.8595633506774902,0.0005550385095425836,0.13118404072328682,0.0,0.0,0.00243377667876073,0.004363113312169863,0.5225677580894215,13.74472427368164
19,2232025.4929967527,1483760.1263203719,0.0,0.0,False,False,,0.0,8.00787669007884,11.825750124855352,3.0200149430791168,0.04564497693198212,0.09805165908093397,0.08425197861229906,0.012310112959052502,0.0011050089533105115,3.8775603771209717,5.600098371505737,0.002009546778250257,0.08688042356390545,0.0,0.0,0.002777509770526282,0.005856224691942966,1.1023628361403663,12.738640308380127
