number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
15,4196039.6211514,2000-01-01 00:00:15.000000,2000-01-01 00:00:15.000000,0 days 00:00:00,35.94775502938688,11.950303470136168,0.0067976036638354,0.0241359333968921,52.57665667150759,1660.8660546655942,1294.3790793711005,448.4472687504555,0.1074865757233131,0.07586209561559,0.9652380966797448,COMPLETE
16,2453875.024004461,2000-01-01 00:00:16.000000,2000-01-01 00:00:16.000000,0 days 00:00:00,49.31970473098978,53.40131912308151,0.0037011169691328,0.0101839962824931,63.18582612183565,1033.371275317871,1757.2428993589265,372.7315467022193,0.3020832592033154,0.0302380357892165,1.034632281279647,COMPLETE
17,1483760.126320372,2000-01-01 00:00:17.000000,2000-01-01 00:00:17.000000,0 days 00:00:00,39.34261609233712,21.87738000920662,0.0048239827034673,0.0039386876061586,26.83213071872905,1325.0536614134971,1621.6991187478093,381.1666122225952,0.2952966564477409,0.0840608837325767,1.017836649094879,COMPLETE
18,2563275.868344553,2000-01-01 00:00:18.000000,2000-01-01 00:00:18.000000,0 days 00:00:00,35.15015947052922,24.76157918548469,0.0028408127397962,0.0067409458442515,18.403323070962973,1933.938993914925,2078.83489697925,399.8315612472128,0.3413491424103801,0.0759002944443599,0.9465039737587846,COMPLETE
19,2232025.4929967527,2000-01-01 00:00:19.000000,2000-01-01 00:00:19.000000,0 days 00:00:00,47.19685548748154,20.78144769440869,0.008865547702228,0.0131832698759779,33.852171366374435,899.844124902337,1366.1109258110855,249.56505917681827,0.2699988705986996,0.0929964464630899,1.0596514361004352,COMPLETE
20,2199927.93210016,2000-01-01 00:00:20.000000,2000-01-01 00:00:20.000000,0 days 00:00:00,25.65576376030051,43.45199899321403,0.0049114046282586,0.0109316577053125,16.524827537620986,880.4314455971854,1591.1093067479617,445.7989511862485,0.3128722518243586,0.0551927882477503,0.8757790010779065,COMPLETE
21,2610970.36653676,2000-01-01 00:00:21.000000,2000-01-01 00:00:21.000000,0 days 00:00:00,41.884421513607705,12.563911065214649,0.0086422340780184,0.0023899041761657,10.142848072084671,1293.2309571114747,1089.5144233328426,499.9903943307994,0.1655145180258736,0.0688019895940885,1.0317187681729183,COMPLETE
22,3133983.0044689043,2000-01-01 00:00:22.000000,2000-01-01 00:00:22.000000,0 days 00:00:00,43.70180685912424,60.25716113573219,0.0040633016251009,0.0059796199092253,62.02652132608749,1496.0524326697175,1772.517220187881,290.13228120664434,0.1107176642942466,0.0415674477161369,1.110548952013104,COMPLETE
23,2835266.157417429,2000-01-01 00:00:23.000000,2000-01-01 00:00:23.000000,0 days 00:00:00,29.056935824023235,12.503310039487872,0.0078522079339491,0.00525980130627,59.68053941712339,1291.364114302213,1383.0415793621733,414.0824815249964,0.1189768834143666,0.0385108593162423,1.154898230542603,COMPLETE
24,3650529.185252466,2000-01-01 00:00:24.000000,2000-01-01 00:00:24.000000,0 days 00:00:00,47.79587612722687,37.51343180981621,0.00465084968182,0.0022023950990443,80.56365790786434,1786.1421473143475,1150.3170919422505,272.8727263419792,0.1812467519071854,0.0298738982347201,0.7223537107976218,COMPLETE
25,3233742.975755788,2000-01-01 00:00:25.000000,2000-01-01 00:00:25.000000,0 days 00:00:00,48.493300474578405,31.474838854391365,0.0038132780763311,0.00245249190531,24.75601868424917,1877.6119958236832,1059.4483106520502,292.614138268708,0.145192826871327,0.0423718937944795,1.1101718183887506,COMPLETE
26,1916745.7257042432,2000-01-01 00:00:26.000000,2000-01-01 00:00:26.000000,0 days 00:00:00,33.066829570037235,15.819921266065943,0.0046744054043741,0.0065745593126306,41.53326107309799,1305.94045829133,1145.512213856209,361.3480829430733,0.3752512350636359,0.0737497037907156,1.0955140477953211,COMPLETE
27,3276900.7208502204,2000-01-01 00:00:27.000000,2000-01-01 00:00:27.000000,0 days 00:00:00,39.35065043226071,71.82037639722712,0.0077087297101252,0.0146606253401837,49.42829687312545,1546.0992014801172,1461.2646714286764,431.2316281043656,0.169566702542807,0.0944788414654624,1.1007258227870036,COMPLETE
28,2043117.798162144,2000-01-01 00:00:28.000000,2000-01-01 00:00:28.000000,0 days 00:00:00,44.69904392142547,58.21843036772445,0.0084679758806367,0.0047838928441977,79.72668133259047,1872.9494718282308,1508.5854725231395,203.81285078809384,0.1452781480919542,0.0838788464592019,1.0543189735036016,COMPLETE
29,3148027.138540142,2000-01-01 00:00:29.000000,2000-01-01 00:00:29.000000,0 days 00:00:00,45.77432522055167,72.0142316381806,0.0072005573740883,0.0122815015419987,101.1090922437,712.8872104116635,1408.893767440702,368.1441083126706,0.1073593306419858,0.0415913017793398,0.9398693437786348,COMPLETE
30,2515595.0382863847,2000-01-01 00:00:30.000000,2000-01-01 00:00:30.000000,0 days 00:00:00,34.457166264200445,43.15293607764298,0.0035488197044738,0.0025645161598759,23.331234459359223,845.0258792044185,2105.748341217948,394.1827775660222,0.344073046474635,0.0897324365480002,0.9938532487316252,COMPLETE
31,1566737.7963977442,2000-01-01 00:00:31.000000,2000-01-01 00:00:31.000000,0 days 00:00:00,26.553889513945037,22.77032936089779,0.0067276398559494,0.0043982867078894,51.1878146247958,1364.595248368675,1112.933513713634,407.8991338084668,0.4499262566968589,0.0600293793158378,1.1022840580742548,COMPLETE
32,2434351.590679955,2000-01-01 00:00:32.000000,2000-01-01 00:00:32.000000,0 days 00:00:00,23.369304024697517,17.951372087810554,0.0079432602450388,0.0064927182529521,80.71280638553823,1965.139662858949,1177.9665575790943,439.1983040120711,0.375537466992569,0.0535995381480059,0.9894592998017132,COMPLETE
33,2005483.8151609437,2000-01-01 00:00:33.000000,2000-01-01 00:00:33.000000,0 days 00:00:00,8.53998432410458,27.453602650537995,0.0089726168603587,0.0082881415539104,32.72610918236378,1277.179897282995,1552.140638683979,386.98534990611154,0.4995363525702617,0.0612913042119693,1.1408919284249823,COMPLETE
34,1820001.3630515183,2000-01-01 00:00:34.000000,2000-01-01 00:00:34.000000,0 days 00:00:00,47.30371911575483,42.33072731703754,0.0049314204232766,0.0048586135140721,98.25706517697824,1824.9188080524543,1110.5775094273986,489.0213254800317,0.2534578072495591,0.0324981600903599,1.1733913667522016,COMPLETE
35,2131356.284160034,2000-01-01 00:00:35.000000,2000-01-01 00:00:35.000000,0 days 00:00:00,41.77985370408461,29.818070102258943,0.0032551003654437,0.0074390246917097,117.26503864796068,1383.8174977933904,1055.7206929214624,472.8010295071125,0.2257081087083037,0.0264275480335451,1.0386834365322912,COMPLETE
36,2244920.5318206428,2000-01-01 00:00:36.000000,2000-01-01 00:00:36.000000,0 days 00:00:00,49.36618681063372,34.733402929101395,0.007291323837533,0.0067851819150456,105.67485712903483,1882.092477892088,1045.1679026465126,284.764430789833,0.2761686355297085,0.020345243459588,1.189200104147897,COMPLETE
