trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
21,330.4703781622691,330.4703781622691,7.07605949937215,0.020963217826831984,True,False,,0.7727272727272727,5.86602894519632,1.3386429799442126,2.453682401821782,0.07868682712337742,0.0685584282042747,0.0006211383571430862,1.195495223990174e-06,2.830176830291748,0.6537744998931885,7.41246013628107e-06,0.12997640342016564,0.0,0.0,0.3331400522108057,28.833061456680298
22,393.00866033637914,330.4703781622691,0.0,0.0,False,False,,0.7391304347826086,7.660754948676781,5.919418842821142,3.1372469736619952,0.10413451271197693,0.08712459598023237,0.0,9.908153218245374e-05,3.699690580368042,2.9592764377593994,0.00017319346046865627,0.07641842223725936,0.0,0.0,0.27914396319542767,27.291132926940918
23,356.81828527011965,330.4703781622691,0.0,0.0,False,False,,0.7083333333333334,6.848570311101278,4.688669442585205,2.8747724024700356,0.09435294099195884,0.07997114262051047,0.0,4.3473849265277124e-05,3.304328441619873,2.3441483974456787,7.452953876941057e-05,0.10184358890167348,0.0,0.0,0.9112538148077658,28.80159878730774
24,1000000000.0,330.4703781622691,0.0,0.0,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_tracking_trial.py', '--ros-args', '-p', 'trial_index:=24', '-p', 'duration:=10.0']' timed out after 30.0 seconds",0.72,,,,,,,,,,,,,,0.2789451005365503,45.0215585231781
25,391.84120516915567,330.4703781622691,0.0,0.0,False,False,,0.6923076923076923,7.0440626358579,2.4305686627664236,2.944739870209722,0.09487745130243319,0.08222437618806615,0.0006230218202964433,9.436585385264274e-06,3.3986947536468506,1.1996853351593018,9.380286599548386e-06,0.10498046188474788,0.0,0.0,1.024206662725334,26.564810752868652
26,1000000000.0,330.4703781622691,0.0,0.0,False,True,"Constraints violated: overshoot=0.0146, vel_ratio=0.00",0.7037037037037037,,,,,,,,,,,,,,0.6293402474693035,28.772276163101196
27,315.44982048687905,315.44982048687905,15.02055767539008,0.04545205461051827,True,False,,0.6785714285714286,6.209327763027083,4.398728253177008,2.541170086588549,0.08331389072889941,0.07069128940705852,0.0,3.71163038904809e-05,2.998626947402954,2.1991937160491943,6.816421572396135e-05,0.12656130059028597,0.0,0.0,0.8526591238469536,26.10383105278015
28,373.43350781875597,315.44982048687905,0.0,0.0,False,False,,0.6551724137931034,7.294795251923797,4.483812683888526,3.015188438039059,0.09840762865899857,0.08396489654580676,0.0,5.823501545200281e-05,3.5214502811431885,2.241581678390503,0.00012986542150395295,0.0970140420438174,0.0,0.0,0.5491806891295611,28.62288475036621
29,369.2570556485266,315.44982048687905,0.0,0.0,False,False,,0.6333333333333333,7.086189519645814,8.329460986988366,2.879988042615649,0.09707424309735176,0.07970087107090268,0.0,0.00032045354392653825,3.4235434532165527,4.162441253662109,0.0009156959328295497,0.09504554313611098,0.0,0.0,0.5221804873897793,26.562761068344116
30,393.6478354930427,315.44982048687905,0.0,0.0,False,False,,0.6129032258064516,7.684515943920332,6.986304911252725,3.124639851940953,0.10351340824922335,0.08679930064271481,0.0,0.00019813061579737067,3.7120590209960938,3.4917168617248535,0.0005742375606036843,0.08160686174793796,0.0,0.0,0.43133970963993834,27.04769206047058
31,1000000000.0,315.44982048687905,0.0,0.0,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_tracking_trial.py', '--ros-args', '-p', 'trial_index:=31', '-p', 'duration:=10.0']' timed out after 30.0 seconds",0.625,,,,,,,,,,,,,,0.7316484442126507,44.31883883476257
32,393.81469740596907,315.44982048687905,0.0,0.0,False,False,,0.6060606060606061,7.345163053322242,2.8636942441762105,3.0848002264935768,0.10075434779927187,0.08591737550113134,0.00027383382407759893,1.9505018460600397e-06,3.543705463409424,1.4249913692474365,3.962895491463498e-06,0.09617736115332956,0.0,0.0,0.5798278828328957,29.136126041412354
33,1000000000.0,315.44982048687905,0.0,0.0,False,True,"Command '['python3', '/home/vinbui/vinh_ws/src/thesis_project/robot_planning/scripts/run_tracking_trial.py', '--ros-args', '-p', 'trial_index:=33', '-p', 'duration:=10.0']' timed out after 30.0 seconds",0.6176470588235294,,,,,,,,,,,,,,0.4462890774594506,44.984328269958496
