number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
0,1000000000.0,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0 days 00:00:00,24.691424506821164,68.13047017599905,2089.766365993793,341.1053504286575,0.3860757465489678,0.0553325368888051,0.7965583595372332,COMPLETE
1,1000000000.0,2000-01-01 00:00:01.000000,2000-01-01 00:00:01.000000,0 days 00:00:00,24.691424506821164,68.13047017599905,2089.766365993793,341.1053504286575,0.3860757465489678,0.0553325368888051,0.7965583595372332,COMPLETE
2,1000000000.0,2000-01-01 00:00:02.000000,2000-01-01 00:00:02.000000,0 days 00:00:00,46.65184872316975,61.12401049845391,2583.450076165329,253.37660753031108,0.4854651042004118,0.0892855270774259,0.8702264438270331,COMPLETE
3,1000000000.0,2000-01-01 00:00:03.000000,2000-01-01 00:00:03.000000,0 days 00:00:00,46.65184872316975,61.12401049845391,2583.450076165329,253.37660753031108,0.4854651042004118,0.0892855270774259,0.8702264438270331,COMPLETE
4,1000000000.0,2000-01-01 00:00:04.000000,2000-01-01 00:00:04.000000,0 days 00:00:00,24.691424506821164,68.13047017599905,2089.766365993793,341.1053504286575,0.3860757465489678,0.0553325368888051,0.7965583595372332,COMPLETE
5,1000000000.0,2000-01-01 00:00:05.000000,2000-01-01 00:00:05.000000,0 days 00:00:00,24.691424506821164,68.13047017599905,2089.766365993793,341.1053504286575,0.3860757465489678,0.0553325368888051,0.7965583595372332,COMPLETE
6,1000000000.0,2000-01-01 00:00:06.000000,2000-01-01 00:00:06.000000,0 days 00:00:00,46.65184872316975,61.12401049845391,2583.450076165329,253.37660753031108,0.4854651042004118,0.0892855270774259,0.8702264438270331,COMPLETE
7,1000000000.0,2000-01-01 00:00:07.000000,2000-01-01 00:00:07.000000,0 days 00:00:00,46.65184872316975,61.12401049845391,2583.450076165329,253.37660753031108,0.4854651042004118,0.0892855270774259,0.8702264438270331,COMPLETE
8,1000000000.0,2000-01-01 00:00:08.000000,2000-01-01 00:00:08.000000,0 days 00:00:00,49.03782540047438,88.30109334221372,2665.239691095876,108.08735897613028,0.1348517198806162,0.0080325697615908,1.0447097256648954,COMPLETE
9,1000000000.0,2000-01-01 00:00:09.000000,2000-01-01 00:00:09.000000,0 days 00:00:00,47.51010126723128,22.901795866814176,1236.5488517378665,412.2116705145822,0.2845917449011728,0.0801166978574556,0.9479447149292666,COMPLETE
10,337.5464376616413,2000-01-01 00:00:10.000000,2000-01-01 00:00:10.000000,0 days 00:00:00,5.845541019635982,61.15905539817837,2548.467378868433,205.8222448418508,0.2658647759962094,0.0526629838532571,0.8193052325515839,COMPLETE
11,1000000000.0,2000-01-01 00:00:11.000000,2000-01-01 00:00:11.000000,0 days 00:00:00,24.666437920970367,42.35571105164074,2887.496157029248,346.7735987499028,0.3448382890889686,0.0621459142105118,0.9772742093724384,COMPLETE
12,1000000000.0,2000-01-01 00:00:12.000000,2000-01-01 00:00:12.000000,0 days 00:00:00,19.194275791588275,21.6033667889368,2341.2757392363187,366.7066861782671,0.1240901886517079,0.0700654883967992,0.6472677927516886,COMPLETE
13,1000000000.0,2000-01-01 00:00:13.000000,2000-01-01 00:00:13.000000,0 days 00:00:00,12.258928304824831,28.79890804853512,2976.7476761184525,275.4406053849282,0.3280787081671519,0.0370073663233196,0.5714313675236197,COMPLETE
