trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
10,30.166445601457912,28.397254987134104,0.0,0.0,False,False,,0.09090909090909091,4.674020906764297,0.07152462005615304,0.311824144257445,0.0066940213523578405,0.006626016722132242,1.3877787807814457e-17,2.7755575615628914e-17,2.32707142829895,0.03576231002807617,4.0817022964160166e-19,0.330935507351076,0.0,0.0,1.1042455290566444,25.143983602523804
11,23.72510097273384,23.72510097273384,4.672154014400263,0.16452836784812716,True,False,,0.08333333333333333,4.621415699671881,0.08104610443115248,0.254798959316192,0.005111724024529603,0.0050031626062845055,0.0,1.3877787807814457e-17,2.3032031059265137,0.04052305221557617,2.7755575615628914e-17,0.3372467222914902,0.0,0.0,0.22331471793449648,25.13453698158264
12,1000000000.0,23.72510097273384,0.0,0.0,False,True,"Constraints violated: overshoot=0.0023, vel_ratio=0.00",0.15384615384615385,,,,,,,,,,,,,,0.48935915661640594,28.118096113204956
13,70.96506105362204,23.72510097273384,0.0,0.0,False,False,,0.14285714285714285,4.668243013696059,0.09400339922442442,0.2902876173917617,0.00551387962754153,0.005466011787846487,0.0007639660881873095,0.00036454860560627695,2.3259224891662598,0.02711796760559082,0.000313831920775461,0.33809827772993284,0.0,0.0,0.7134426530860491,25.200709581375122
14,36.598839456179455,23.72510097273384,0.0,0.0,False,False,,0.13333333333333333,4.713708059528196,0.17454624176025477,0.36706241769379894,0.008287151748200978,0.00821022740295332,1.3877787807814457e-17,2.6694457840969112e-17,2.344538688659668,0.08727312088012695,3.5587594477464796e-17,0.3398125093541198,0.0,0.0,0.9258988949770581,26.381951808929443
15,53.28419903348199,23.72510097273384,0.0,0.0,False,False,,0.125,4.606400011578693,0.04734258024876029,0.21836992200317462,0.004060980915092481,0.003937879734401722,0.000676675671137314,1.612453231855972e-17,2.297293186187744,0.006754398345947266,1.2076344198146234e-17,0.3653498627248602,0.0,0.0,1.0801729648501575,27.150447368621826
16,40.23803306416763,23.72510097273384,0.0,0.0,False,False,,0.11764705882352941,4.688413401998835,0.14051529164164028,0.37124440640205164,0.008433341265684102,0.00832470938820222,6.311344982834477e-05,1.5885369714405063e-15,2.3317196369171143,0.0686798095703125,1.919610775621729e-12,0.35310675495694677,0.0,0.0,0.6550242379059067,24.39667296409607
17,36.856302020331604,23.72510097273384,0.0,0.0,False,False,,0.1111111111111111,4.7293667440933715,0.24703359603991262,0.367362646617285,0.008360827765097957,0.008241323806270294,0.0,3.4886357178336655e-15,2.3523213863372803,0.12351679801940918,2.1885026859519166e-13,0.346944261876036,0.0,0.0,0.8687458255314457,24.470655918121338
18,34.3093282149924,23.72510097273384,0.0,0.0,False,False,,0.10526315789473684,4.676279716981,0.15492199809989035,0.34676746116990975,0.0077099315782625,0.007631677154880948,1.1728111155295817e-06,9.889946841496567e-16,2.3266923427581787,0.07743167877197266,3.3713862338319895e-14,0.3823657018445906,0.0,0.0,0.9028482383030404,28.3623046875
19,32.99886201632265,23.72510097273384,0.0,0.0,False,False,,0.1,4.686882596584209,0.1034665107727072,0.33639183761530955,0.0073933026625483764,0.007330928038242393,4.163336342344337e-17,2.803175729971263e-17,2.332444906234741,0.05173325538635254,9.480864938011857e-18,0.3544478902013416,0.0,0.0,0.9758560194478167,26.52799892425537
