trial,collision_normal_force_max,collision_normal_damping,collision_force_max_per_contact,collision_force_attack_hz,collision_force_release_hz,collision_force_slew_rate,collision_tangent_gain,collision_tangent_force_max,collision_tangent_force_ratio,collision_tangent_gamma_power,collision_tangent_speed_scale,collision_tangent_velocity_deadband,collision_normal_fade_power,collision_force_scale,collision_force_max,collision_constraint_timeout_sec
0,6.390508031418598,18.44935542656565,6.822107008573151,22.711845940916213,12.896750786116998,103.96623469866529,4.657078506995579,7.242411005474558,0.5836482422254631,1.9586037970644443,0.12292425495074641,0.017280162833328422,2.006502490516044,1.4107159659511932,2.426216349187322,0.10352491091941599
0,6.390508031418598,18.44935542656565,6.822107008573151,22.711845940916213,12.896750786116998,103.96623469866529,4.657078506995579,7.242411005474558,0.5836482422254631,1.9586037970644443,0.12292425495074641,0.017280162833328422,2.006502490516044,1.4107159659511932,2.426216349187322,0.10352491091941599
1,2.1617471795226058,21.150256447602573,8.225254007598803,31.490328002664118,24.550985186888045,123.89061334817407,4.884053941402852,6.4637042340051885,0.20322349164101994,2.59980255331881,0.03863592736317603,0.028506060760338764,1.9002511400251647,0.7975943279886283,3.5873336726277616,0.2890430961472385
2,5.649202657732388,15.073980823978916,2.150318403490841,24.67615842104868,16.85401017717085,100.2014195937184,9.46560674588893,5.772742093724384,0.3117785552582037,2.0925798844983534,0.11069205547054443,0.004626087733990285,2.2335634455250357,1.1047654435417913,3.2622953664430456,0.11481010036681039
0,6.390508031418598,18.44935542656565,6.822107008573151,22.711845940916213,12.896750786116998,103.96623469866529,4.657078506995579,7.242411005474558,0.5836482422254631,1.9586037970644443,0.12292425495074641,0.017280162833328422,2.006502490516044,1.4107159659511932,2.426216349187322,0.10352491091941599
1,2.1617471795226058,21.150256447602573,8.225254007598803,31.490328002664118,24.550985186888045,123.89061334817407,4.884053941402852,6.4637042340051885,0.20322349164101994,2.59980255331881,0.03863592736317603,0.028506060760338764,1.9002511400251647,0.7975943279886283,3.5873336726277616,0.2890430961472385
0,6.390508031418598,18.44935542656565,6.822107008573151,22.711845940916213,12.896750786116998,103.96623469866529,4.657078506995579,7.242411005474558,0.5836482422254631,1.9586037970644443,0.12292425495074641,0.017280162833328422,2.006502490516044,1.4107159659511932,2.426216349187322,0.10352491091941599
1,2.1617471795226058,21.150256447602573,8.225254007598803,31.490328002664118,24.550985186888045,123.89061334817407,4.884053941402852,6.4637042340051885,0.20322349164101994,2.59980255331881,0.03863592736317603,0.028506060760338764,1.9002511400251647,0.7975943279886283,3.5873336726277616,0.2890430961472385
2,5.649202657732388,15.073980823978916,2.150318403490841,24.67615842104868,16.85401017717085,100.2014195937184,9.46560674588893,5.772742093724384,0.3117785552582037,2.0925798844983534,0.11069205547054443,0.004626087733990285,2.2335634455250357,1.1047654435417913,3.2622953664430456,0.11481010036681039
3,4.523426807393471,10.36534773168032,6.561574163343037,19.84224086348265,24.75585059924375,33.265825397243646,2.4843291829009297,2.1291666251949737,0.4438987464594293,1.6332290063494552,0.08062040047131983,0.009599490984043274,1.0656300423846954,0.4324501693971662,5.9379775367916405,0.11730939686412573
4,3.572658893440428,10.480678925202174,8.56794583878348,10.621734446412654,21.59684305747488,32.492793026215196,9.77636491762726,4.280558411533911,0.5895424896856517,2.512113799362615,0.11610426532177923,0.004058070390866658,1.350456013925742,0.4442358734558027,3.7768411851328696,0.11205648411764589
2,4.876063204590288,12.051734937384854,7.581049567418119,9.626087733990285,18.00210102435902,107.18292305036073,2.4986343302014884,1.9024840835839731,0.29194275791588276,1.9092769273565566,0.09412558015432436,0.01484224086348265,2.9732598275362196,0.42245377289763364,3.253260536569008,0.123553569828949,0.0591864995279239,0.017598748076193462,0.016657769321407657,0.005177532696020835
3,3.2717566691641577,4.538628246779018,7.250636715722187,11.730939686412572,8.128229595281123,67.93427218592534,8.299435683555384,1.679708930551429,0.5270752083744618,1.2402460197349077,0.14693973045174144,0.015653582444487942,2.946550502837775,1.025814623694055,6.43558147638981,0.09058070390866658,0.03696841775458458,0.013605896836395067,0.012403504938053624,0.003543460346405173
5,7.422532294369841,8.210183383419793,7.881552176980759,33.97909071817083,9.22381601391912,94.9004534743188,6.1243983470824706,5.005763340536114,0.2503867346882782,3.3818725287924627,0.07812629922029156,0.02585303415672045,2.30880233323026,0.6569243410261604,6.8827869182148635,0.18705655002868585,0.07286619182666969,0.027438186179075758,0.02704338404637132,0.011002910671010956
6,7.802034238557124,13.530460784314151,9.64866907778579,25.38773537920021,12.900956019721773,98.83111783663017,0.6823353839386685,3.1110237167218453,0.4470780918717082,1.72519401802611,0.1003420057698494,0.014576754925535687,1.0115903477116355,0.657938791147237,5.4197894642075894,0.23953564553700674,0.05445951493097473,0.02959602459571401,0.02130258175004222,0.007608439660641661
7,9.172372766808504,10.45392301110162,5.4869194021250145,32.08193058542315,20.9300737699678,111.50551586024763,1.4521554294668606,7.436378296212715,0.4714085847971001,3.4971175164196664,0.039428279605539185,0.026439403548941785,1.073733749755662,1.038671477140613,2.742919897096649,0.30896222191700323,0.06843913752350064,0.0270730221584378,0.015179582430649992,0.0028991709409167945
8,7.579430185156509,12.431481701595583,7.776444795762783,31.39232280007299,24.485951605060603,131.25443451103945,0.6112837997575187,3.5198464513485472,0.47849575309082604,1.4290741931536013,0.08773475880653682,0.004467125685159848,1.15999200726172,0.32222615335273674,6.762186220144524,0.14045966577630264,0.040721100841814156,0.037842438803967725,0.022610360048088318,0.002413906083907002
10,6.647763384709729,14.391365973980417,8.883073988294422,17.485207971710167,14.557719085407076,139.40747553129196,2.218780554740074,3.2675926753396562,0.5166493317588704,2.156333796570057,0.1448766811550311,0.01787144643068051,1.0761770706220424,0.916800512529247,5.609164730618692,0.20350476562622505,0.05377850241204882,0.023137260652537836,0.020647712788061028,0.0074850659669063535
11,6.975402728271129,22.71396007759188,8.856323834083227,20.038304944617085,11.044911499127315,114.62717249422002,1.9778365662330915,3.2510769390987044,0.5409826699259469,1.6384508463617173,0.06483130243638999,0.011939150641583315,0.9345629753542904,0.5253372195312289,3.9457798929613483,0.25559026415253305,0.04994556522533338,0.02864693856162214,0.018817438656505665,0.005360390402605767
12,7.84027709275179,19.71660187971547,9.62236476245952,8.05198295103091,8.144183082394424,132.0152041930177,1.085802757023354,4.645295446602658,0.5728214728886518,1.6206800066397082,0.050665295174073005,0.016216353006085975,0.8384688383542673,0.6680752876491638,2.6147131480830286,0.27285647406794755,0.031128677635305548,0.03103111783322019,0.020549012919696453,0.004008026556883557
13,7.060853008500634,15.96076227815055,9.9547970612554,20.178711519998146,10.973467913633268,118.88549173802804,2.2596005622883384,3.293231916662647,0.5538305226879661,2.3898493371327727,0.13991766820647344,0.01564234586737994,1.416402669545051,1.307273722356367,4.796261324626599,0.13496163803691275,0.035683469520009226,0.016985611153407073,0.013087915391194721,0.0070651858165373714
