trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
10,1828152.3247272847,1477184.1936930867,0.0,0.0,False,False,,0.0,4.53582870643963,1.637893298068932,0.2721055366113495,3.0127318702976473e-14,0.009462916244602198,0.00593713813897501,0.008277036722486933,2.9176378038049174e-17,2.2590086460113525,0.61202073097229,1.0591154022175322e-15,0.6632888196472095,0.0,0.0,1.9620159399188856e-15,3.607797795906347e-15,1.1154080553223769,13.112916231155396
11,1568159.3745024563,1477184.1936930867,0.0,0.0,False,False,,0.0,4.495398857520519,1.5595949945306216,0.13141046186167124,1.1321913619214666e-14,0.004731766963562756,0.003186496869225798,0.005678556079576916,6.562300934618786e-17,2.242919683456421,0.6378335952758789,3.588026465598603e-15,0.48501970026184754,0.0,0.0,6.953791213354667e-16,1.439720162132733e-15,0.8850519248951467,13.224570751190186
12,1576016.9498732516,1477184.1936930867,0.0,0.0,False,False,,0.0,4.527195422903073,1.6884996215400625,0.14232732449117225,1.961509019927974e-14,0.0054059515340943365,0.0036880072803539147,0.005757068211225347,4.3557256389072255e-11,2.258065700531006,0.7003231048583984,2.5239966410518743e-10,0.3381928386128763,0.0,0.0,1.3196765015092325e-15,2.2644195468014703e-15,0.9370773259702578,13.257092237472534
13,1617940.7867938203,1477184.1936930867,0.0,0.0,False,False,,0.0,4.578777545725921,1.25389703294966,0.31323379006145263,1.2181538301479312e-14,0.0111852191118219,0.0068352202692361615,0.0061759205837990105,1.258306298110395e-08,2.2791359424591064,0.4725503921508789,4.389159033906947e-08,0.6059991505331254,0.0,0.0,7.862536464258844e-16,1.472877282518059e-15,1.131729857498265,13.034108400344849
14,1557459.9139425997,1477184.1936930867,0.0,0.0,False,False,,0.0,4.562225593728353,0.9596860439299023,0.11270606984874404,1.846185048758802e-14,0.0040359847491502525,0.0028914655587837716,0.005571637214657615,2.7052788744732946e-17,2.276775598526001,0.34055209159851074,1.1392213872086495e-17,0.3506437184651386,0.0,0.0,1.1119845188921395e-15,2.3914935841127266e-15,0.8678663642789324,13.023404359817505
15,1833593.2838760188,1477184.1936930867,0.0,0.0,False,False,,0.0,4.526118147225928,1.5742939575280794,0.18818873394571,2.2089700251628688e-14,0.005784962515067766,0.004334247063183749,0.00833152505508701,2.237935177202366e-15,2.2565577030181885,0.5788588523864746,1.5595697810101027e-13,0.5028040133140826,0.0,0.0,1.5147862502738872e-15,2.4928525623593976e-15,1.1920004053926125,13.127687692642212
16,1608703.6044223453,1477184.1936930867,0.0,0.0,False,False,,0.0,4.574436793501452,1.8665652573577025,0.19908997828666242,1.5769753153928408e-14,0.006818277178953944,0.0053751103663692784,0.0060837083230694255,3.2171641010910636e-11,2.279155731201172,0.7811899185180664,8.336197221296799e-10,0.34304134459133606,0.0,0.0,9.129152710780738e-16,2.1166077463259548e-15,0.8078059162997245,13.039411544799805
17,1528047.408532465,1477184.1936930867,0.0,0.0,False,False,,0.0,4.569412086905781,1.0244912484657152,0.12934206220129424,4.940685397032725e-14,0.005487790146407133,0.00323100040414048,0.0052776228971214145,1.3628571414580774e-14,2.2798595428466797,0.38030505180358887,4.933233102751849e-13,0.3500399859955359,0.0,0.0,3.179252321440704e-15,5.9932088497004045e-15,1.2685937294927827,13.118789434432983
18,1798946.3382572364,1477184.1936930867,0.0,0.0,False,False,,0.0,4.545223408517949,3.031412159662667,0.3026608387076308,2.786437921633649e-14,0.009746421717924194,0.008057492831585194,0.0079850677016996,2.758438943307016e-10,2.2605254650115967,1.3160793781280518,3.6643167625809645e-09,0.4782377315909655,0.0,0.0,1.452352521335817e-15,4.061389761412488e-15,1.2712097669115883,13.136980295181274
19,1725282.0377455386,1477184.1936930867,0.0,0.0,False,False,,0.0,4.578398315201023,2.4854361262817677,0.22741977420568393,1.2050408934433477e-14,0.007736083019685555,0.006152341130646791,0.0072488733563422225,7.160520259666818e-09,2.279970645904541,1.0614960193634033,8.394756999726323e-08,0.34245192515666056,0.0,0.0,7.760983133724982e-16,1.460405606863373e-15,0.8986264140098529,13.218592405319214
