number,value,datetime_start,datetime_complete,duration,params_collision_constraint_timeout_sec,params_collision_force_attack_hz,params_collision_force_max,params_collision_force_max_per_contact,params_collision_force_release_hz,params_collision_force_scale,params_collision_force_slew_rate,params_collision_guard_distance,params_collision_influence_distance,params_collision_normal_damping,params_collision_normal_fade_power,params_collision_normal_force_max,params_collision_safe_distance,params_collision_tangent_force_max,params_collision_tangent_force_ratio,params_collision_tangent_gain,params_collision_tangent_gamma_power,params_collision_tangent_speed_scale,params_collision_tangent_velocity_deadband,params_collision_task_distance,state
0,1000000000.0,2026-05-03 16:26:01.465893,2026-05-03 16:26:01.467828,0 days 00:00:00.001935,0.10352491091941599,22.711845940916213,2.426216349187322,6.822107008573151,12.896750786116998,1.4107159659511932,103.96623469866529,0.024453918773746263,0.021213103846419543,18.44935542656565,2.006502490516044,6.390508031418598,0.03497859536643814,7.242411005474558,0.5836482422254631,4.657078506995579,1.9586037970644443,0.12292425495074641,0.017280162833328422,0.013310157927208648,COMPLETE
1,1000000000.0,2026-05-03 16:26:01.469297,2026-05-03 16:26:01.470443,0 days 00:00:00.001146,0.24676158421048677,29.074287759734297,2.112738802618131,5.691834898023455,6.483762943247598,0.9821207386423783,103.1897327725781,0.028593701962865602,0.05672574336334528,20.380646976984643,1.7491457640980614,9.828946737862111,0.02850801990624271,7.612682419347087,0.38483174478753224,1.861856230385941,2.036654849976309,0.054392229573601514,0.02390430961472385,0.010863663888345284,COMPLETE
2,19325.733066087094,2026-05-03 16:26:01.471059,2026-05-03 16:26:34.833891,0 days 00:00:33.362832,0.123553569828949,9.626087733990285,3.253260536569008,7.581049567418119,18.00210102435902,0.42245377289763364,107.18292305036073,0.016657769321407657,0.0591864995279239,12.051734937384854,2.9732598275362196,4.876063204590288,0.017598748076193462,1.9024840835839731,0.29194275791588276,2.4986343302014884,1.9092769273565566,0.09412558015432436,0.01484224086348265,0.005177532696020835,COMPLETE
3,19714.55387488646,2026-05-03 16:26:34.834699,2026-05-03 16:27:10.521924,0 days 00:00:35.687225,0.09058070390866658,11.730939686412572,6.43558147638981,7.250636715722187,8.128229595281123,1.025814623694055,67.93427218592534,0.012403504938053624,0.03696841775458458,4.538628246779018,2.946550502837775,3.2717566691641577,0.013605896836395067,1.679708930551429,0.5270752083744618,8.299435683555384,1.2402460197349077,0.14693973045174144,0.015653582444487942,0.003543460346405173,COMPLETE
4,1000000000.0,2026-05-03 16:27:10.523028,2026-05-03 16:27:10.524378,0 days 00:00:00.001350,0.12946166774192153,26.696747222990535,3.7364365576832066,2.513179970790275,15.898630538338079,1.1595926449422786,54.5006338221279,0.025723500730434078,0.05519077608860498,11.52804887383741,1.0031350835301018,4.543865435151808,0.010603226385624807,1.6575835753090917,0.4091759230002806,5.470856507933647,3.3232404939405353,0.06141396381867208,0.021020080259019403,0.002061041190503112,COMPLETE
5,19584.046512619454,2026-05-03 16:27:10.524902,2026-05-03 16:27:44.441068,0 days 00:00:33.916166,0.18705655002868585,33.97909071817083,6.8827869182148635,7.881552176980759,9.22381601391912,0.6569243410261604,94.9004534743188,0.02704338404637132,0.07286619182666969,8.210183383419793,2.30880233323026,7.422532294369841,0.027438186179075758,5.005763340536114,0.2503867346882782,6.1243983470824706,3.3818725287924627,0.07812629922029156,0.02585303415672045,0.011002910671010956,COMPLETE
6,18160.491976537225,2026-05-03 16:27:44.441901,2026-05-03 16:28:18.201912,0 days 00:00:33.760011,0.23953564553700674,25.38773537920021,5.4197894642075894,9.64866907778579,12.900956019721773,0.657938791147237,98.83111783663017,0.02130258175004222,0.05445951493097473,13.530460784314151,1.0115903477116355,7.802034238557124,0.02959602459571401,3.1110237167218453,0.4470780918717082,0.6823353839386685,1.72519401802611,0.1003420057698494,0.014576754925535687,0.007608439660641661,COMPLETE
7,20929.540944230517,2026-05-03 16:28:18.202588,2026-05-03 16:28:53.723893,0 days 00:00:35.521305,0.30896222191700323,32.08193058542315,2.742919897096649,5.4869194021250145,20.9300737699678,1.038671477140613,111.50551586024763,0.015179582430649992,0.06843913752350064,10.45392301110162,1.073733749755662,9.172372766808504,0.0270730221584378,7.436378296212715,0.4714085847971001,1.4521554294668606,3.4971175164196664,0.039428279605539185,0.026439403548941785,0.0028991709409167945,COMPLETE
8,21797.192262865723,2026-05-03 16:28:53.724777,2026-05-03 16:29:29.288915,0 days 00:00:35.564138,0.14045966577630264,31.39232280007299,6.762186220144524,7.776444795762783,24.485951605060603,0.32222615335273674,131.25443451103945,0.022610360048088318,0.040721100841814156,12.431481701595583,1.15999200726172,7.579430185156509,0.037842438803967725,3.5198464513485472,0.47849575309082604,0.6112837997575187,1.4290741931536013,0.08773475880653682,0.004467125685159848,0.002413906083907002,COMPLETE
9,1000000000.0,2026-05-03 16:29:29.289722,2026-05-03 16:29:29.291114,0 days 00:00:00.001392,0.2124238783267431,14.423106177111734,6.437304770295725,6.617828708833341,23.618493956420668,1.4332468679807202,99.81557427556648,0.00645072900809689,0.033644877678399396,16.29400323449456,1.128243913524773,3.317553251983302,0.017630694453111787,5.129369834481997,0.4785549132825463,5.588511628737104,1.7798624886990047,0.07176873808809195,0.008665781222328299,0.00764741613225557,COMPLETE
