number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
0,1559801.463318219,2026-05-07 02:44:27.892324,2026-05-07 02:44:43.363178,0 days 00:00:15.470854,24.691424506821164,68.13047017599905,0.007958905373210113,0.020405192903637327,116.00290365511322,1816.0141013295356,2089.7663659937934,341.1053504286575,0.3860757465489678,0.055332536888805156,0.7965583595372332,COMPLETE
1,1544190.6993131135,2026-05-07 02:44:43.364543,2026-05-07 02:44:58.825844,0 days 00:00:15.461301,42.46789304965721,11.819655769629314,0.008031753929323891,0.04897368042717268,105.70133630715011,1622.8664766147458,1142.072116395774,470.2386553170644,0.32721782443757297,0.05336059705553755,0.5609905097910785,COMPLETE
2,1517726.1388294115,2026-05-07 02:44:58.827405,2026-05-07 02:45:14.526153,0 days 00:00:15.698748,28.483174478753224,95.02020253446256,0.004670273255722175,0.0391632170928424,39.101117331508966,1004.9252979838901,2279.8420426550474,147.3097703475733,0.4122116705145822,0.04668645686304026,0.6003473011863325,COMPLETE
3,1596658.3438709418,2026-05-07 02:45:14.527455,2026-05-07 02:45:30.166836,0 days 00:00:15.639381,35.681913459656755,94.93732706631617,0.0007902096219668443,0.03548629740450872,58.07351491792756,911.1634309754362,2224.191445444843,347.05419883035086,0.10751592017454206,0.05727496093799621,0.9318537978123298,COMPLETE
4,2069405.9841024417,2026-05-07 02:45:30.168241,2026-05-07 02:45:46.821184,0 days 00:00:16.652943,30.658854668804583,42.73396938483604,0.00224699220972938,0.006898150915905348,118.72112218651488,1045.6225728859445,1257.8525953097067,184.15302442953634,0.36825514784726376,0.0670099048291211,0.7207998456469287,COMPLETE
5,1906096.3894383989,2026-05-07 02:45:46.822735,2026-05-07 02:46:02.122151,0 days 00:00:15.299416,9.966881352393731,24.307262528096775,0.0038135066724774482,0.011435953360642568,25.20012464834752,1415.7603020909648,1932.6215457126127,201.31664101591286,0.3612433301861594,0.01696964227061463,0.6710979144011219,COMPLETE
6,1781944.5225065611,2026-05-07 02:46:02.123657,2026-05-07 02:46:17.722800,0 days 00:00:15.599143,48.954248968565174,52.178608148293144,0.002971508233248814,0.0038810140282073925,91.31899373381319,1328.237383566578,1192.1968157879262,435.1779629995216,0.13884051031722452,0.08227832975494558,1.183521625509377,COMPLETE
7,1531880.7234976694,2026-05-07 02:46:17.724259,2026-05-07 02:46:33.184695,0 days 00:00:15.460436,36.16124537165089,15.773274671390592,0.0011206170054327285,0.027115906566401587,39.192844003339,1263.2224721511777,1635.966358787952,147.49108758169763,0.218456079008858,0.012899459560103722,0.7899840961602689,COMPLETE
8,1477184.1936930867,2026-05-07 02:46:33.186223,2026-05-07 02:46:48.450479,0 days 00:00:15.264256,18.02327418262405,74.4694483706709,0.008323612286330159,0.0029651622169996907,74.51642282910915,611.4253154120986,2334.8207599273633,227.42758098052946,0.4717184790304857,0.05801870306006175,0.5922585036830745,COMPLETE
9,1603357.7112877297,2026-05-07 02:46:48.451955,2026-05-07 02:47:03.645219,0 days 00:00:15.193264,30.92708004880266,32.387782916796226,0.009536940312866454,0.01270791836674968,72.94770963699608,1306.4712831621264,2470.38804424519,208.00318927686595,0.37112661471849206,0.0014648521430621596,1.1735319815822067,COMPLETE
10,1828152.3247272847,2026-05-07 02:47:03.646745,2026-05-07 02:47:19.041126,0 days 00:00:15.394381,17.156287090821575,45.902459385011866,0.007526768607166116,0.01896635807073859,77.21604972939555,1050.1387806775974,2865.47795835782,262.65886987018405,0.40329041330275783,0.059248964731139594,0.6136264781066042,COMPLETE
11,1568159.3745024563,2026-05-07 02:47:19.042521,2026-05-07 02:47:34.549548,0 days 00:00:15.507027,29.896145459237538,68.11022349537035,0.004487343835926377,0.03375175903634868,29.242123687956486,804.8907787801138,2092.4659983310744,208.56377383760505,0.37686397179360565,0.033572496239117594,0.6344119112632477,COMPLETE
12,1576016.9498732516,2026-05-07 02:47:34.551068,2026-05-07 02:47:50.141270,0 days 00:00:15.590202,23.916157099869707,94.71971807070985,0.00704846104702057,0.003654453190935895,70.30695326744659,757.389232239512,2231.972818931746,157.22308395540085,0.46437636302786517,0.06510457158848906,0.6539782177681525,COMPLETE
13,1617940.7867938203,2026-05-07 02:47:50.142712,2026-05-07 02:48:05.454171,0 days 00:00:15.311459,42.55001122335295,69.40767101328325,0.0034600873777905043,0.030600714583217163,11.016427145687775,1440.9940787354408,2911.561632452136,133.42910962944276,0.4905642007816088,0.07163882599231947,0.6301690870732923,COMPLETE
14,1557459.9139425997,2026-05-07 02:48:05.455631,2026-05-07 02:48:20.761071,0 days 00:00:15.305440,24.716380992162005,93.3668583268789,0.0038844741495022267,0.043419008578725445,55.221139950275905,1638.1293855582812,2788.1731672098103,260.1709962718634,0.3916365913554555,0.03915310691663156,0.5853877876223408,COMPLETE
15,1833593.2838760188,2026-05-07 02:48:20.762803,2026-05-07 02:48:36.220814,0 days 00:00:15.458011,19.09834968925852,55.54432406563414,0.008684858656532686,0.012225477199848745,88.11942865053058,979.0577170285679,1708.8727470223753,228.90156981088288,0.45283836020909546,0.03201136327512298,0.5667599341607491,COMPLETE
16,1608703.6044223453,2026-05-07 02:48:36.222404,2026-05-07 02:48:51.538918,0 days 00:00:15.316514,14.065234240662718,84.29474203485725,0.007837523639103974,0.006898339486524388,66.64656353979355,1099.473544329509,2335.757651758863,436.5586065363807,0.41984449289481707,0.02871210492147605,0.7874622509148178,COMPLETE
17,1528047.408532465,2026-05-07 02:48:51.540358,2026-05-07 02:49:06.989522,0 days 00:00:15.449164,44.17979869046422,90.4306668224098,0.008399679291692422,0.044451838428775196,46.45415075576063,1431.9047351649006,2389.129863246303,193.54194948602193,0.3366208682758233,0.04974445827415793,0.7131365982833964,COMPLETE
18,1798946.3382572364,2026-05-07 02:49:06.990980,2026-05-07 02:49:22.471297,0 days 00:00:15.480317,13.029618530609396,61.62804467613327,0.008852122862048459,0.011845205116242605,70.72354027065221,637.7656975871232,2415.865753373819,278.22546649870253,0.47793591880079567,0.05734640690159705,0.9637579680681668,COMPLETE
19,1725282.0377455386,2026-05-07 02:49:22.472756,2026-05-07 02:49:38.019192,0 days 00:00:15.546436,7.663479908814555,85.9451587612265,0.006568454848442987,0.03556149800615505,49.77113756157762,541.1441068672593,2355.2716793237137,276.40865926052584,0.4961853867487867,0.09996937371653289,0.65544904842446,COMPLETE
20,1677955.938319713,2026-05-07 02:49:38.020640,2026-05-07 02:49:53.503546,0 days 00:00:15.482906,8.835820718582411,88.61818507348049,0.00769637175997436,0.04130732170686144,51.70021233806783,725.719636658954,2530.493841767542,135.85266590746667,0.3835016674509035,0.02355814767236784,0.7057999344090461,COMPLETE
21,13066580.626135116,2026-05-07 02:49:53.505013,2026-05-07 02:50:09.131633,0 days 00:00:15.626620,44.6029945311162,79.90565726763496,0.007324148453950539,0.045175755740462245,78.37335772544124,1261.0685579285941,1997.8238487747035,163.31498773999164,0.3962988580493273,0.07051231182545001,0.6294064816476368,COMPLETE
22,1000000000.0,2026-05-07 02:50:09.133097,2026-05-07 02:50:16.398792,0 days 00:00:07.265695,30.24098438217711,92.03773331239843,0.006279934541296599,0.04655750078290239,21.107009624617834,737.439387939782,2446.5346903868653,147.39015448679984,0.4204865942239285,0.0605193500713353,0.6846104666739421,COMPLETE
23,1464183.1790091046,2026-05-07 02:50:16.400271,2026-05-07 02:50:31.921966,0 days 00:00:15.521695,47.36810635530645,69.43520143822425,0.009724565614277772,0.036795515703199916,53.82606524439732,1263.0202840173827,2696.5439178414845,213.0286088229275,0.34613739722761305,0.026443817756699597,0.7605760668761876,COMPLETE
24,1548943.589317101,2026-05-07 02:50:31.923466,2026-05-07 02:50:47.806952,0 days 00:00:15.883486,42.7165562524654,28.39534701465334,0.007488904971734088,0.04422813687542401,58.13517038043848,1449.287710480319,2307.827757227218,273.4544057943095,0.3630088998878018,0.011574648678231953,0.7758410371481608,COMPLETE
25,1000000000.0,2026-05-07 02:50:47.808495,2026-05-07 02:50:55.064960,0 days 00:00:07.256465,43.42043958755423,65.06491609440002,0.009138060369352923,0.017757102760118056,63.428672185641794,1223.4401410530934,2768.572897233704,130.08105072175627,0.3541478298106697,0.0025815821290738825,0.808037547841005,COMPLETE
26,1653332.9819467084,2026-05-07 02:50:55.066764,2026-05-07 02:51:13.919686,0 days 00:00:18.852922,49.492103397021225,71.52300399047702,0.008909547699785036,0.03703769643622382,76.46154409344561,1162.4857623557623,2818.616258176047,276.08238425659374,0.19573353938427213,0.033423998846765696,1.122161188795951,COMPLETE
27,1555289.64602844,2026-05-07 02:51:13.921172,2026-05-07 02:51:29.808550,0 days 00:00:15.887378,38.183123700359275,78.67932503023253,0.00950503422982071,0.026057382372840297,72.06297342260547,1433.9347663847661,2169.080567806352,316.31475954263567,0.22133897698105504,0.015462620803492201,0.6009624940872186,COMPLETE
28,1625354.516877429,2026-05-07 02:51:29.810077,2026-05-07 02:51:45.298362,0 days 00:00:15.488285,10.123912987385394,69.24684526313854,0.008596798283035806,0.007340173237714289,49.40542005619908,357.7370300876038,1822.3653170110586,129.46188430841772,0.279549042096294,0.0728543593102082,0.5130555984927325,COMPLETE
29,1000000000.0,2026-05-07 02:51:45.299829,2026-05-07 02:51:52.581165,0 days 00:00:07.281336,38.671805763445136,90.24363508133695,0.009374855870426416,0.042078432781507566,90.99703383904827,710.1433606142093,2893.5298617901326,236.8589007679636,0.2768320292963403,0.02400416338848451,0.5987898565714574,COMPLETE
30,1513750.052658207,2026-05-07 02:51:52.582657,2026-05-07 02:52:08.372666,0 days 00:00:15.790009,25.76007873170197,75.27595876202145,0.009052353790701118,0.006888409748412202,50.799519511371315,533.0089089478081,2013.9710675808028,368.3922722336097,0.3639839120845728,0.06114507641911724,0.5990698772316149,COMPLETE
31,1183013.5647806285,2026-05-07 02:52:08.374159,2026-05-07 02:52:24.463211,0 days 00:00:16.089052,24.759677894843335,80.88908775565615,0.007768477387183389,0.002281455008608788,46.8089687757852,340.93918084629024,2004.531184504142,386.4845618309012,0.4169202997578295,0.07858812623186968,0.5459004226886454,COMPLETE
32,1230962.0639072948,2026-05-07 02:52:24.464668,2026-05-07 02:52:40.197000,0 days 00:00:15.732332,25.022561989077538,82.18313035902776,0.006476491605286827,0.0032150860529087995,64.02244741511154,342.12405327051465,1994.5601391608704,391.6122859618515,0.42371921634353105,0.07504965927016724,0.5671652840044238,COMPLETE
33,1523484.7636740778,2026-05-07 02:52:40.197778,2026-05-07 02:52:55.732230,0 days 00:00:15.534452,46.706896227144284,88.99877331233637,0.008535482422109913,0.004137158074555598,71.54641338380152,469.6324250270819,1826.5462006569528,497.5566592649625,0.41718073276840434,0.08873557046498223,0.6170769809222916,COMPLETE
34,12638065.731627775,2026-05-07 02:52:55.733779,2026-05-07 02:53:11.635209,0 days 00:00:15.901430,19.23152725012382,74.06051475306677,0.004151960844967712,0.015146501255169816,58.401327944083704,353.1429437456696,1457.554379418727,332.11430049872536,0.3576897242044602,0.056970748528169995,0.5049960875080022,COMPLETE
35,1516306.4896402329,2026-05-07 02:53:11.636751,2026-05-07 02:53:27.311210,0 days 00:00:15.674459,14.008558447334496,99.13428573264088,0.004544867935253646,0.015239961686452898,76.0422584746928,530.571188987355,2323.6214230122373,416.97482666258844,0.435718430052484,0.06618203251251767,0.5656271238286336,COMPLETE
36,1370406.8096712336,2026-05-07 02:53:27.312723,2026-05-07 02:53:43.418837,0 days 00:00:16.106114,36.97347535747517,87.89485019283741,0.005090886071813945,0.003440622153833683,22.69082631751607,488.19362985386215,1972.2442776839987,286.2133289642053,0.4885467875381639,0.06885431810513519,0.5489900408321157,COMPLETE
37,13705769.663106225,2026-05-07 02:53:43.420365,2026-05-07 02:53:59.912207,0 days 00:00:16.491842,41.80112253746341,88.2451678927853,0.004306590521936009,0.007982744477463083,26.211364664923433,836.1125745087861,2035.176245557342,223.018029551168,0.4352070333396669,0.09658062125083358,0.5806048674122959,COMPLETE
38,1376370.741478867,2026-05-07 02:53:59.913741,2026-05-07 02:54:15.891048,0 days 00:00:15.977307,10.132215162313841,68.94062633945325,0.006834492379680714,0.011338086119928162,46.58423311353616,301.088152151722,2212.2536255266064,443.59084531037144,0.25401931785780585,0.08990703768985835,0.5839034923294916,COMPLETE
39,1576396.1546641744,2026-05-07 02:54:15.892640,2026-05-07 02:54:31.837432,0 days 00:00:15.944792,5.855898071519364,61.695843423285,0.004665327891607273,0.021457948110954625,29.880560326028768,345.59543146120643,2436.731898418682,435.23756046712606,0.2896439646661144,0.08527774647532761,0.7511163222363935,COMPLETE
40,1265962.3022953672,2026-05-07 02:54:31.839045,2026-05-07 02:54:50.628573,0 days 00:00:18.789528,24.50164983991441,97.11969450836484,0.005782591775541305,0.003813773830188315,28.54520695251888,372.1013063135699,1923.3028199662306,442.28790203778794,0.38209147554530387,0.09188383570799431,0.5519973676054931,COMPLETE
