trial,m_pos_min,m_pos_max,k_pos_min,k_pos_max,zeta_pos,adaptive_lambda,adaptive_alpha_pos,i_gain_pos,i_gain_ori,i_clamp_pos,i_clamp_ori
0,0.055332536888805156,0.3860757465489678,341.1053504286575,2089.7663659937934,0.7965583595372332,68.13047017599905,24.691424506821164,1816.0141013295356,116.00290365511322,0.020405192903637327,0.007958905373210113
1,0.05336059705553755,0.32721782443757297,470.2386553170644,1142.072116395774,0.5609905097910785,11.819655769629314,42.46789304965721,1622.8664766147458,105.70133630715011,0.04897368042717268,0.008031753929323891
2,0.04668645686304026,0.4122116705145822,147.3097703475733,2279.8420426550474,0.6003473011863325,95.02020253446256,28.483174478753224,1004.9252979838901,39.101117331508966,0.0391632170928424,0.004670273255722175
3,0.05727496093799621,0.10751592017454206,347.05419883035086,2224.191445444843,0.9318537978123298,94.93732706631617,35.681913459656755,911.1634309754362,58.07351491792756,0.03548629740450872,0.0007902096219668443
4,0.0670099048291211,0.36825514784726376,184.15302442953634,1257.8525953097067,0.7207998456469287,42.73396938483604,30.658854668804583,1045.6225728859445,118.72112218651488,0.006898150915905348,0.00224699220972938
5,0.01696964227061463,0.3612433301861594,201.31664101591286,1932.6215457126127,0.6710979144011219,24.307262528096775,9.966881352393731,1415.7603020909648,25.20012464834752,0.011435953360642568,0.0038135066724774482
6,0.08227832975494558,0.13884051031722452,435.1779629995216,1192.1968157879262,1.183521625509377,52.178608148293144,48.954248968565174,1328.237383566578,91.31899373381319,0.0038810140282073925,0.002971508233248814
7,0.012899459560103722,0.218456079008858,147.49108758169763,1635.966358787952,0.7899840961602689,15.773274671390592,36.16124537165089,1263.2224721511777,39.192844003339,0.027115906566401587,0.0011206170054327285
8,0.05801870306006175,0.4717184790304857,227.42758098052946,2334.8207599273633,0.5922585036830745,74.4694483706709,18.02327418262405,611.4253154120986,74.51642282910915,0.0029651622169996907,0.008323612286330159
9,0.0014648521430621596,0.37112661471849206,208.00318927686595,2470.38804424519,1.1735319815822067,32.387782916796226,30.92708004880266,1306.4712831621264,72.94770963699608,0.01270791836674968,0.009536940312866454
10,0.059248964731139594,0.40329041330275783,262.65886987018405,2865.47795835782,0.6136264781066042,45.902459385011866,17.156287090821575,1050.1387806775974,77.21604972939555,0.01896635807073859,0.007526768607166116
11,0.033572496239117594,0.37686397179360565,208.56377383760505,2092.4659983310744,0.6344119112632477,68.11022349537035,29.896145459237538,804.8907787801138,29.242123687956486,0.03375175903634868,0.004487343835926377
12,0.06510457158848906,0.46437636302786517,157.22308395540085,2231.972818931746,0.6539782177681525,94.71971807070985,23.916157099869707,757.389232239512,70.30695326744659,0.003654453190935895,0.00704846104702057
13,0.07163882599231947,0.4905642007816088,133.42910962944276,2911.561632452136,0.6301690870732923,69.40767101328325,42.55001122335295,1440.9940787354408,11.016427145687775,0.030600714583217163,0.0034600873777905043
14,0.03915310691663156,0.3916365913554555,260.1709962718634,2788.1731672098103,0.5853877876223408,93.3668583268789,24.716380992162005,1638.1293855582812,55.221139950275905,0.043419008578725445,0.0038844741495022267
15,0.03201136327512298,0.45283836020909546,228.90156981088288,1708.8727470223753,0.5667599341607491,55.54432406563414,19.09834968925852,979.0577170285679,88.11942865053058,0.012225477199848745,0.008684858656532686
16,0.02871210492147605,0.41984449289481707,436.5586065363807,2335.757651758863,0.7874622509148178,84.29474203485725,14.065234240662718,1099.473544329509,66.64656353979355,0.006898339486524388,0.007837523639103974
17,0.04974445827415793,0.3366208682758233,193.54194948602193,2389.129863246303,0.7131365982833964,90.4306668224098,44.17979869046422,1431.9047351649006,46.45415075576063,0.044451838428775196,0.008399679291692422
18,0.05734640690159705,0.47793591880079567,278.22546649870253,2415.865753373819,0.9637579680681668,61.62804467613327,13.029618530609396,637.7656975871232,70.72354027065221,0.011845205116242605,0.008852122862048459
19,0.09996937371653289,0.4961853867487867,276.40865926052584,2355.2716793237137,0.65544904842446,85.9451587612265,7.663479908814555,541.1441068672593,49.77113756157762,0.03556149800615505,0.006568454848442987
20,0.02355814767236784,0.3835016674509035,135.85266590746667,2530.493841767542,0.7057999344090461,88.61818507348049,8.835820718582411,725.719636658954,51.70021233806783,0.04130732170686144,0.00769637175997436
21,0.07051231182545001,0.3962988580493273,163.31498773999164,1997.8238487747035,0.6294064816476368,79.90565726763496,44.6029945311162,1261.0685579285941,78.37335772544124,0.045175755740462245,0.007324148453950539
