trial,collision_k_rep,collision_normal_damping,collision_tangent_gain,collision_tangent_damping
0,0.00029696607676729615,18.44935542656565,9.438687265003015,2.769927596684795
1,0.00024064465970250712,16.855564600533093,7.126220957677695,4.469687703832191
2,0.0004836482422254632,10.819154932992888,12.084150533157304,2.691585106789232
3,0.00030562005249226953,23.288722680731205,1.9945048147704172,0.5269335685375495
4,5.9098278848146575e-05,21.150256447602573,11.894194513297906,4.363059526409414
5,0.0004903782540047438,20.380646976984643,7.460711071541046,3.924592963803632
6,0.00010322349164101995,16.71818349053305,3.0069460237266497,4.728877693542961
7,0.00028483174478753225,11.537224619782043,4.703778569464777,3.893745078227662
8,0.00025526764949744687,15.073980823978916,1.263057206108972,3.1264139356717977
9,0.00032544307522508963,16.18948192811941,14.212473099204738,3.440919465607069
10,0.0004889124887312958,19.990701288952483,7.101662911214079,3.4867576145895924
11,0.00034052145884640904,6.904972633668968,4.459877408780808,4.804387527988757
12,0.0004813809963824138,15.063421847772762,2.4203703944019175,4.200652523170578
13,8.020513447969509e-05,7.268797174963038,6.306684320405639,3.52803144593263
14,6.82085468019146e-05,5.077776461299788,6.075226345039773,3.690431981660655
15,0.00020298766668675047,8.052203410591035,4.58007905418366,1.2058803346781093
16,0.00027829807203899175,5.9964799486478135,1.008312251864253,1.3247476130880427
17,0.00012906238366173394,9.077829961325504,6.938187600860047,1.020704329961692
18,5.751829216726166e-05,2.430724696521847,1.0658171602663047,0.5177973586349273
19,0.00019883392482641024,7.006547815957146,9.892637047460433,2.5169496282190433
20,0.00014061260792253973,2.612552614038824,14.22291741846076,4.301448149332509
21,0.00034280465809494897,7.5055819862547395,2.066301315764269,1.5377760780096046
22,0.00020242209546310837,8.72833559976094,2.1224396117444675,1.263503123267387
23,0.00018838069519918818,14.566758983385071,2.7714407992883356,0.35263944548436743
24,0.0002816662985732947,13.092740244559486,5.579218110734214,1.8566656392717527
25,0.00013060596271746787,8.650524110368998,2.670943513823871,2.2309131042181356
26,5.0933232672882204e-05,14.780564914835448,6.234132509562732,3.2466181653978565
27,0.0002119471891760262,5.861391182319908,4.7046118670655455,0.9910540772091823
28,0.0003579185432761807,12.260941892772728,6.405042576862528,0.5045243690525221
29,0.00016326198519319468,16.217065049751973,12.30828383313792,1.2763119547363349
