trial,cost,best_cost_so_far,is_best,safety_fail,fail_reason,min_distance,penetration_depth,force_jitter,velocity_spike,max_force,progress_error,arrival_jitter,final_error,error_at_stop,dynamic_tracking_error
10,16140.700241210829,15435.151993372532,False,False,,0.019190960566314128,0.0,0.13738028404034944,0.2040438256986969,7.3235742821647785,0.0,7.059122806994226e-16,3.6009207311855404e-15,0.04477103418635853,0.03423630832439627
11,16026.562536031724,15435.151993372532,False,False,,0.01749417261288843,0.0,0.13695340757449403,0.16618915308078402,7.320404844430944,0.0,2.0271759631293301e-16,9.13957870191017e-16,0.044175228669764824,0.0349358744791362
12,18722.643160297266,15435.151993372532,False,False,,0.009306136077910978,0.0,0.2013220008210601,0.4971773931502088,7.3192289136921955,0.0,1.3487161866576539e-14,1.3742559003339622e-14,0.05878581771904795,0.03169439219537767
13,15183.424999753215,15183.424999753215,True,False,,0.018874357445377743,0.0,0.07136614157815711,0.1798887937753353,4.289631724289636,0.0,5.5009060574153726e-17,3.561352831475564e-17,0.03949853824463595,0.034142049884761154
14,16039.375981929581,15183.424999753215,False,False,,0.019665419102815065,0.0,0.05565023849645626,0.10612292956425395,3.042445033395471,0.0,9.283942916898705e-17,3.772567054071667e-16,0.04434018418967821,0.03413572994981276
15,15084.382740394542,15084.382740394542,True,False,,0.018163120923718544,0.0,0.13174049124908643,0.2552200293434613,7.320812299402374,0.0,6.053054650454192e-17,4.3757975889134835e-17,0.03884569322723626,0.034526929060858504
16,15301.251541266618,15084.382740394542,False,False,,0.018458435715784236,0.0,0.1355036128076125,0.4199369794973241,7.318883410878659,0.0,4.83084118073948e-16,4.492308164804988e-16,0.03986652264798671,0.03451488808908686
17,15999.489260267002,15084.382740394542,False,False,,0.01899405437339649,0.0,0.10130994703675755,0.2675596480078089,6.4309832314014335,0.0,2.0897637807769618e-16,1.2619804518180532e-15,0.043925938108408655,0.03424297380000047
18,15916.70196002473,15084.382740394542,False,False,,0.018830394241967332,0.0,0.050847739846181496,0.14007238238015896,3.152671948230116,0.0,6.463220251524851e-17,1.9543406130674682e-16,0.04362354634316755,0.03390675478621869
19,16009.861440401593,15084.382740394542,False,False,,0.019170911666557336,0.0,0.12744235263957393,0.07776497135296304,7.328137811607776,0.0,1.9204851876760018e-16,1.1834215524742172e-15,0.04418761503075623,0.0341656229628615
20,16117.897426516514,15084.382740394542,False,False,,0.01959614908034309,0.0,0.0909432393362632,0.36552965099772877,6.123426363293995,0.0,1.8407457789784421e-16,1.3072421105524897e-16,0.04451052102416765,0.028350549999948762
21,17016.951881386667,15084.382740394542,False,False,,0.019757661502147472,0.0,0.13724406833565397,0.4030384592659045,7.319278096700416,0.0,7.649689718342779e-16,5.219868253483523e-16,0.049424912293144135,0.032997773350638894
22,14913.564995322191,14913.564995322191,True,False,,0.019021863080693167,0.0,0.13018828542820465,0.24339142963042937,7.3192588012197835,0.0,9.707096599552322e-16,4.954737870907849e-15,0.037912240234275224,0.03417405295495839
23,16304.223313807759,14913.564995322191,False,False,,0.01938118260723954,0.0,0.12080802458429575,0.25202747253184554,7.319346816230159,0.0,1.1221489342567853e-16,4.507778485639929e-16,0.04562867026224507,0.03461677086804245
24,15862.517694317548,14913.564995322191,False,False,,0.01939761807014545,0.0,0.13359509667296288,0.14342706927976245,7.321615275789676,0.0,6.076475948534999e-16,3.666799908441365e-15,0.04329663202303151,0.03375876148214885
25,15569.768588340465,14913.564995322191,False,False,,0.018074921410126885,0.0,0.13078786862898856,0.15064015385165558,7.30304067529189,0.0,2.8213992515484497e-15,1.929021665542188e-14,0.04166130448254811,0.034066357279408904
26,16224.410380638295,14913.564995322191,False,False,,0.019405659511591785,0.0,0.0684119959837419,0.15689367930146447,2.910281649652071,0.0,6.572429639176215e-17,1.1746232164130537e-16,0.04530673922821547,0.03439798390001652
27,15903.145214994616,14913.564995322191,False,False,,0.018856014398274643,0.0,0.13080053287409893,0.09471943226057591,7.320748494115485,0.0,8.140324847182654e-17,2.441861887090201e-16,0.043573986880010046,0.03434366349697278
28,15923.365622790476,14913.564995322191,False,False,,0.019115692676182034,0.0,0.1358694280760355,0.22985671093022733,7.322157226326559,0.0,2.451693563627231e-16,1.4516347455964873e-15,0.04353407233479967,0.0344677889366356
29,16155.79733141067,14913.564995322191,False,False,,0.019039802438837333,0.0,0.11598773036013497,0.15668584503215563,7.333636079971921,0.0,2.301944955460863e-16,1.2647290622188243e-15,0.044912004883621015,0.034499896834401245
30,13764.296939910115,13764.296939910115,True,False,,0.01979965696354284,0.0,0.08340847159249865,0.5708093328314005,4.451972441214558,0.0,2.2755699822501386e-15,2.149322386735264e-15,0.03119647206118345,0.03059967875082568
31,15671.477260263211,13764.296939910115,False,False,,0.018554775866943537,0.0,0.12941039840646648,0.2309691902285188,6.957257482236892,0.0,5.615002859166909e-17,4.0492097978721785e-17,0.04213686246354546,0.03417765885899203
32,15512.884521805923,13764.296939910115,False,False,,0.016307129367520046,0.0,0.15233349136706112,0.22639932859904283,7.3200265133683216,0.0,4.1916456319720617e-16,2.3099801641394384e-15,0.04125460874946728,0.034158406613565166
33,15851.758186502113,13764.296939910115,False,False,,0.01904358206117566,0.0,0.10846603065657978,0.10768598277049951,6.700478839071207,0.0,2.6007033246680147e-16,1.307833622819708e-15,0.04328063333129001,0.034283688782930165
34,16117.59207291574,13764.296939910115,False,False,,0.0189795580635842,0.0,0.07929443330180115,0.14208990978777986,5.174498990240198,0.0,1.4441738728380795e-16,7.1661945480684415e-16,0.04472578185625896,0.03456863516645309
35,16242.983324835615,13764.296939910115,False,False,,0.01684683296278596,0.0,0.18562002924429882,0.4736187095944329,7.320929303280756,0.0,1.5558556689764826e-16,1.2194933140089448e-16,0.04503266678047636,0.033098560968744695
36,15356.993513207208,13764.296939910115,False,False,,0.01871020082413195,0.0,0.08764125814137472,0.14531955319513645,4.170788885069691,0.0,3.6118156353673895e-16,2.0980691931268584e-15,0.040497461180730346,0.03400452712957457
37,18656.79213008159,13764.296939910115,False,False,,0.016306331323224777,0.0,0.12454959203164352,0.6434400316193918,5.967814761641836,0.0,9.604144748069432e-15,8.840695060550664e-15,0.05827883797505322,0.03168580864502307
38,18267.171136643152,13764.296939910115,False,False,,0.01598649294308083,0.0,0.13733484977111712,0.5817602399098624,7.334652755491908,0.0,7.419518827319577e-15,6.9488516672368614e-15,0.056180157178827725,0.03152405398244968
39,15702.21090783016,13764.296939910115,False,False,,0.018955661608164583,0.0,0.13583314221473092,0.1068342409226325,7.335547657362365,0.0,1.506443709972554e-16,8.488880594130661e-16,0.042444846903746516,0.03397995986049324
40,15955.41728777851,13764.296939910115,False,False,,0.01981615299427423,0.0,0.08267579654867542,0.13166361031411086,4.247449300651407,0.0,8.632919395147246e-17,2.480824087598884e-16,0.0438406516799827,0.033633473491354565
41,16089.979913609634,13764.296939910115,False,False,,0.019546502531597246,0.0,0.1287311489248689,0.1285336343887854,7.3197672899637505,0.0,1.9847788507820566e-16,7.017412966504074e-16,0.04457477251262493,0.03437757701310888
42,15102.802732542117,13764.296939910115,False,False,,0.017572275328009333,0.0,0.1361128748322703,0.3432535341859426,7.318786647658559,0.0,5.831954155796914e-17,3.890257291932504e-17,0.038849198033628046,0.03449073591025766
43,12920.827438350736,12920.827438350736,True,False,,0.01919570278537781,0.0,0.13454695778594974,0.45333208913824985,7.337277291502923,0.0,6.68004511901231e-17,4.512548649926596e-17,0.026614285047906222,0.03286236401065846
44,15913.537181138807,12920.827438350736,False,False,,0.013241800148299834,0.0,0.1513174396534232,0.11270760914077395,7.332645293914961,0.0,1.0982882231907651e-14,8.891716339255865e-15,0.04362332377006781,0.031231508714040526
45,15590.410678392405,12920.827438350736,False,False,,0.018416901409351392,0.0,0.12709381506479014,0.2767045590844262,7.340957483967945,0.0,2.217340292968342e-16,1.0270919113399098e-15,0.04163644569369887,0.03415485095643925
46,15935.390957723645,12920.827438350736,False,False,,0.019537823616997508,0.0,0.06425741719524501,0.35380328148415574,3.271226514939957,0.0,5.732145366576332e-17,3.9260709378881545e-17,0.04348641495760856,0.03386273819750199
47,16028.51599230512,12920.827438350736,False,False,,0.019408346365522692,0.0,0.1276489528438828,0.16225600220812386,7.311633815170059,0.0,2.8390017429828604e-16,1.6472213203833796e-15,0.044198514294174596,0.033949771269813904
48,16116.992336239255,12920.827438350736,False,False,,0.01932669143600041,0.0,0.1284702944690066,0.15611503183638936,7.33519540983146,0.0,5.742069009504468e-17,3.793262000802618e-17,0.04469270149412388,0.034659546206217945
49,17005.609243375955,12920.827438350736,False,False,,0.018658909183733745,0.0,0.1351089564186273,0.5351788286715704,7.318947067851386,0.0,2.571946751062977e-15,2.2701822500712224e-15,0.04922907409773089,0.030584692228740953
50,18335.8290651543,12920.827438350736,False,False,,0.012917895380313127,0.0,0.17645781617585607,0.14610929227710773,7.3282535039259145,0.0,2.9128497105058374e-15,2.2544052717336736e-15,0.05703028451178613,0.0323331037681227
51,15762.26359330587,12920.827438350736,False,False,,0.01936644744338454,0.0,0.1358697816662759,0.17266910406544772,7.325829467877936,0.0,2.1932740842554923e-15,1.3219480155344097e-14,0.04270113154767849,0.034732604826878816
52,13511.922487395706,12920.827438350736,False,False,,0.019627629302236296,0.0,0.0831253585328522,0.49753749931782726,4.305098911979948,0.0,6.47316026628519e-17,4.1722897538332494e-17,0.029866383027529683,0.03230977465014578
53,15837.52968313107,12920.827438350736,False,False,,0.01878830180579836,0.0,0.060133272134873086,0.31428033679844114,3.6987485930263926,0.0,5.5289344487489287e-17,4.136301690770672e-17,0.04298576002422885,0.0342301478034355
54,15400.03807285495,12920.827438350736,False,False,,0.01891726317477717,0.0,0.11575870117719148,0.17082294146450971,7.074938533333101,0.0,5.189121155581155e-17,3.482877069186983e-17,0.0406986125156147,0.03433529669253428
55,15336.304742654047,12920.827438350736,False,False,,0.01773685516612802,0.0,0.1259078940730335,0.18453606881956613,7.31887850740374,0.0,5.3594742469878525e-17,3.6366216235659005e-17,0.04032781709520236,0.03409505705004817
56,15894.453301470588,12920.827438350736,False,False,,0.019342381693909897,0.0,0.061917748641436725,0.19887570335748095,3.6821000213253874,0.0,5.987562178615585e-17,4.7816536209103276e-17,0.04343128587031547,0.0339508167102256
57,16149.144568488031,12920.827438350736,False,False,,0.01891958775336939,0.0,0.13483099549919186,0.20220444941358737,7.3237170903978726,0.0,2.330630241537348e-16,1.2832872019931956e-15,0.04482218805688776,0.0339682785905116
58,15385.859887026516,12920.827438350736,False,False,,0.01933805226080232,0.0,0.13502876840210412,0.14461567566557876,7.336869119493806,0.0,1.4287500044601582e-16,7.053635090684256e-16,0.04064570289433038,0.03395879249379594
59,16267.068538865295,12920.827438350736,False,False,,0.019552873082716832,0.0,0.13146048112998268,0.2838318299882191,7.319766584685524,0.0,9.655292011504514e-17,3.3463972333909927e-16,0.04538556881711525,0.0343267617303881
60,15197.837818034175,12920.827438350736,False,False,,0.01920112745216762,0.0,0.08338790523719648,0.4429769479000711,4.321840032661369,0.0,6.835770606664317e-17,4.5194111610974714e-17,0.03928334214401262,0.03407144727001725
61,16192.382903877735,12920.827438350736,False,False,,0.01906831549540942,0.0,0.1366083519917185,0.16108821957884825,7.320481953517766,0.0,4.142729291812196e-15,2.6573928243086204e-14,0.04510222555312021,0.034934242799855714
62,15653.39612153278,12920.827438350736,False,False,,0.0188745337412019,0.0,0.08829939905507465,0.5872829436189622,3.1477295460255847,0.0,9.711521688984978e-16,8.55495551344914e-16,0.04166529185636379,0.03177202871059664
63,16038.89030002631,12920.827438350736,False,False,,0.019128157638887394,0.0,0.1334049045188986,0.4301651107571166,7.3191925492297605,0.0,1.213084567799981e-15,7.0020898236314125e-15,0.04395709647579371,0.033909667005822604
64,16476.604784235467,12920.827438350736,False,False,,0.01926587487879427,0.0,0.13647393000637403,0.1551495268261679,7.331943084940228,0.0,5.596167121830701e-16,3.301631062422815e-15,0.04668759275885928,0.03498448577512718
65,15397.498829211141,12920.827438350736,False,False,,0.019866546549156934,0.0,0.11265014090355464,0.09407839863118653,6.84393062279453,0.0,1.2603724908898085e-16,4.1295430278772563e-16,0.04077318245182812,0.033877801110640794
66,15486.1780730598,12920.827438350736,False,False,,0.018886875431728282,0.0,0.13477383032942147,0.08268100584807375,7.319312510528421,0.0,6.685834259706623e-17,4.960189964857554e-17,0.04127211904737538,0.03392175184613623
67,15503.964620812687,12920.827438350736,False,False,,0.01919480285952065,0.0,0.075304507127377,0.09420022620225571,4.355531974836005,0.0,5.584567841254748e-16,3.842869005466516e-15,0.04137529070216554,0.03380702382594678
